gene,human_disease_association
GOLGA3,"Attention deficit hyperactivity disorder, Central nervous system cancer"
GOLGA6A,"Paget's disease of bone, Hodgkin's lymphoma"
GOLGA8F,Vitiligo
GOLGA8N,"Colorectal adenoma, Colorectal cancer"
GOLIM4,Proliferative diabetic retinopathy
GOLPH3,Myocardial infarction
GOLPH3L,"Prostate carcinoma, Heart disease, Basal cell carcinoma"
GON4L,"Inflammatory bowel disease, Crohn's disease"
GOPC,"Atrial fibrillation, Lung carcinoma, Lung non-small cell carcinoma"
GORAB,"Androgenic alopecia, Atrial fibrillation"
GORASP1,Abdominal obesity-metabolic syndrome 1
GOSR2,"Atrial fibrillation, Cleft lip"
GOT1,"Inflammatory bowel disease, Hypothyroidism, Ankylosing spondylitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Colorectal cancer"
GOT2,Autism spectrum disorder
GP1BA,"Attention deficit hyperactivity disorder, Intracranial aneurysm"
GP1BB,"Idiopathic scoliosis, Prostate carcinoma"
GP2,"Hypertension, Nephrolithiasis, Chronic kidney disease"
GP6,Vascular disease
GPAA1,Bipolar I disorder
GPANK1,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis, Systemic lupus erythematosus"
GPATCH1,"Colorectal adenoma, Allergic rhinitis, Colorectal cancer"
GPATCH2,Attention deficit hyperactivity disorder
GPBAR1,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Ulcerative colitis, Crohn's disease, Colorectal cancer"
GPBP1L1,Sensorineural hearing loss
GPD1,"Hypertension, Colorectal cancer"
GPM6A,Endogenous depression
GPN1,"Abdominal obesity-metabolic syndrome 1, Oral cavity cancer"
GPN3,Bipolar disorder
GPNMB,Endometriosis
GPR108,"Age related macular degeneration, Kuhnt-Junius degeneration"
GPR114,Prostate carcinoma
GPR123,Gastroesophageal reflux disease
GPR126,"Scoliosis, Idiopathic scoliosis, Endogenous depression, Chronic obstructive pulmonary disease"
GPR133,"Amyotrophic lateral sclerosis, Pemphigus"
GPR135,Attention deficit hyperactivity disorder
GPR137,"Inflammatory bowel disease, Leprosy, Hypertension, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Vitiligo, Sclerosing cholangitis, Basal cell carcinoma, Crohn's disease, Psoriasis, Alopecia areata"
GPR141,"Herpes zoster, Plantar fascial fibromatosis"
GPR143,"Prostate carcinoma, Colorectal cancer"
GPR144,"Atrial fibrillation, Hypothyroidism"
GPR149,"Heart disease, Myocardial infarction"
GPR150,Chronic obstructive pulmonary disease
GPR155,Endogenous depression
GPR158,Intestinal disease
GPR160,"Hypertension, Testicular germ cell cancer, Psoriasis"
GPR162,Colorectal cancer
GPR174,Graves' disease
GPR18,"Inflammatory bowel disease, Hypothyroidism, Basal cell carcinoma, Crohn's disease"
GPR182,"Attention deficit hyperactivity disorder, Asthma"
GPR183,"Inflammatory bowel disease, Hypothyroidism, Basal cell carcinoma, Crohn's disease"
GPR19,"Prostate carcinoma, Systemic lupus erythematosus"
GPR22,Heart disease
GPR25,"Inflammatory bowel disease, Celiac disease, Epilepsy, Acne, Ankylosing spondylitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease"
GPR26,Attention deficit hyperactivity disorder
GPR29,"Primary biliary cholangitis, Basal cell carcinoma, Rheumatoid arthritis, Crohn's disease"
GPR3,Hypertension
GPR31,"Primary biliary cholangitis, Rheumatoid arthritis"
GPR32,Prostate carcinoma
GPR33,Gilles de la Tourette syndrome
GPR35,"Inflammatory bowel disease, Sclerosing cholangitis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease"
GPR37,"Chronic lymphocytic leukemia, Lung carcinoma, Skin melanoma"
GPR37L1,"estrogen-receptor negative breast cancer, Breast carcinoma"
GPR4,Heart disease
GPR52,Endogenous depression
GPR56,Prostate carcinoma
GPR62,Amyotrophic lateral sclerosis
GPR65,"Inflammatory bowel disease, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
GPR68,"Prostate carcinoma, Breast carcinoma, Ovarian carcinoma"
GPR75,"Endogenous depression, Anorexia nervosa"
GPR78,"Neuroblastoma, Systemic lupus erythematosus"
GPR83,Obstructive sleep apnea
GPR97,Prostate carcinoma
GPR98,"Allergic disease, Melanoma, Opiate dependence, Cervical cancer, Skin melanoma"
GPRC5A,Skin melanoma
GPRC5B,Alzheimer's disease
GPRC5D,Skin melanoma
GPRC6A,Prostate carcinoma
GPS1,Attention deficit hyperactivity disorder
GPS2,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
GPSM1,"Inflammatory bowel disease, Squamous cell carcinoma, IgA glomerulonephritis, Myocardial infarction, Ankylosing spondylitis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
GPSM3,"Autism spectrum disorder, Prostate carcinoma, Chronic lymphocytic leukemia, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Hepatitis B, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung carcinoma, Lung squamous cell carcinoma, Systemic scleroderma, Cervical cancer, Ulcerative colitis, Psoriatic arthritis, Colorectal cancer"
GPX1,"Heart disease, Endogenous depression, Endometriosis"
GPX3,"Sjogren's syndrome, Systemic scleroderma, Myositis, Rheumatoid arthritis, Psoriasis, Psoriatic arthritis, Systemic lupus erythematosus"
GPX4,"Inflammatory bowel disease, Age related macular degeneration, Kuhnt-Junius degeneration, Basal cell carcinoma, Crohn's disease, Colorectal cancer"
GPX5,"Autism spectrum disorder, Idiopathic scoliosis, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma"
GPX6,"Autism spectrum disorder, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma"
GRAMD1A,Hodgkin's lymphoma
GRAMD1B,"Autism spectrum disorder, Chronic lymphocytic leukemia, Mature B-cell neoplasm"
GRAMD3,"Osteoporosis, Chronic kidney disease"
GRASP,"Lung carcinoma, Lung adenocarcinoma"
GRB10,"Bone disease, Sensorineural hearing loss, Acute lymphoblastic leukemia"
GRB14,Abdominal obesity-metabolic syndrome 1
GRB2,"non-alcoholic fatty liver disease, Systemic scleroderma, Systemic lupus erythematosus"
GRB7,"Inflammatory bowel disease, Marginal zone B-cell lymphoma, Primary biliary cholangitis, Atopic dermatitis, Bipolar disorder, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
GREB1,"Uterine fibroid, Basal cell carcinoma, Endometriosis"
GREM1,"Colorectal adenoma, Hypospadias, Colorectal cancer"
GRHL1,"Prostate carcinoma, Chronic obstructive pulmonary disease, Bronchitis"
GRHL2,Rheumatoid arthritis
GRHPR,Endogenous depression
GRIA1,"Autism spectrum disorder, Cardiac arrest, Attention deficit hyperactivity disorder"
GRIA4,Attention deficit hyperactivity disorder
GRID1,Attention deficit hyperactivity disorder
GRID2IP,"Inflammatory bowel disease, Heart disease"
GRIK1,"Attention deficit hyperactivity disorder, Hepatocellular carcinoma"
GRIK2,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
GRIK3,"Endogenous depression, Endometriosis, Bipolar disorder"
GRIK4,Glaucoma
GRIN2A,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Hepatitis B, Bipolar disorder"
GRIN3B,"Age related macular degeneration, Kuhnt-Junius degeneration, Primary biliary cholangitis, Basal cell carcinoma"
GRINA,"Bipolar I disorder, Osteoarthritis"
GRK5,Vascular disease
GRK6,"Inflammatory bowel disease, Nephrolithiasis, Chronic kidney disease, Ulcerative colitis, Crohn's disease"
GRM3,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar disorder"
GRM4,"non-alcoholic fatty liver disease, Abdominal obesity-metabolic syndrome 1, Osteosarcoma"
GRM5,"Autism spectrum disorder, Sensorineural hearing loss, Hypertension, Attention deficit hyperactivity disorder, Vitiligo, Endogenous depression, Cancer, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Endometriosis, Bipolar disorder, Retinal detachment, Skin melanoma, Cleft lip"
GRM8,"Attention deficit hyperactivity disorder, Creutzfeldt-Jakob disease, Gastroesophageal reflux disease"
GRP,Pancreatic carcinoma
GRTP1,Intracranial aneurysm
GSAP,Allergic rhinitis
GSDMA,"Atrial fibrillation, Primary biliary cholangitis, Chronic obstructive pulmonary disease, Systemic scleroderma, Cervical cancer, Allergic rhinitis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Acute lymphoblastic leukemia"
GSDMB,"Atrial fibrillation, Primary biliary cholangitis, Systemic scleroderma, Cervical cancer, Allergic rhinitis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus, Acute lymphoblastic leukemia"
GSDMC,"Inflammatory bowel disease, Brain glioma, Musculoskeletal system disease, Glioblastoma, Osteoarthritis"
GSK3A,"Prostate carcinoma, Hodgkin's lymphoma"
GSPT1,"Stomach carcinoma, Testicular germ cell cancer"
GSS,"Congenital heart disease, Vascular disease, Melanoma, Skin carcinoma"
GSTA3,Bone disease
GSTA4,Attention deficit hyperactivity disorder
GSTCD,"Chronic obstructive pulmonary disease, Psoriasis"
GSTM1,Breast carcinoma
GSTM2,Breast carcinoma
GSTM3,"Breast carcinoma, Paget's disease of bone"
GSTM4,Breast carcinoma
GSTM5,"Breast carcinoma, Paget's disease of bone"
GSX2,Uterine fibroid
GTF2A1L,Polycystic ovary syndrome
GTF2H1,Attention deficit hyperactivity disorder
GTF2H4,"Cutaneous lupus erythematosus, Swine influenza, Autism spectrum disorder, Membranous glomerulonephritis, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma, Autoimmune thyroiditis, Oropharynx cancer, Psoriatic arthritis, Systemic lupus erythematosus"
GTF2H5,Sensorineural hearing loss
GTF2I,"Atrial fibrillation, Sjogren's syndrome, Systemic lupus erythematosus"
GTF2IRD1,"Swine influenza, Atrial fibrillation, Systemic lupus erythematosus"
GTF2IRD2,"Atrial fibrillation, Sjogren's syndrome, Breast carcinoma"
GTF3A,Attention deficit hyperactivity disorder
GTF3C1,Primary biliary cholangitis
GTF3C2,Crohn's disease
GTF3C5,"Disease of cellular proliferation, Vascular disease"
GTPBP1,Prostate carcinoma
GTPBP3,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
GTPBP4,Chronic kidney disease
GUCA1C,"Attention deficit hyperactivity disorder, Autoimmune thyroiditis"
GUCD1,"non-alcoholic fatty liver disease, Acne"
GUCY1A3,"Hypertension, Heart disease, Myocardial infarction"
GUCY1B3,"Hypertension, Heart disease, Myocardial infarction"
GUCY2D,Attention deficit hyperactivity disorder
GUK1,Idiopathic scoliosis
GVQW3,Eosinophilic esophagitis
GYLTL1B,"Attention deficit hyperactivity disorder, Vascular disease"
GYPA,Chronic obstructive pulmonary disease
GYPC,Atrial fibrillation
GYPE,Malaria
GZMB,Vitiligo
GZMH,Vitiligo
H1F0,Sensorineural hearing loss
H2AFX,Heart disease
H6PD,Allergic rhinitis
HAAO,Hypospadias
HABP2,Attention deficit hyperactivity disorder
HACE1,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder, Neuroblastoma"
HACL1,"Intestinal disease, Diverticulitis"
HADH,"Chronic lymphocytic leukemia, Rheumatoid arthritis"
HAGHL,"Bone disease, Attention deficit hyperactivity disorder"
HAL,"Squamous cell carcinoma, Skin melanoma"
HAMP,Sensorineural hearing loss
HAND2,Atrial fibrillation
HAO1,"Ossification of the posterior longitudinal ligament of spine, Colorectal cancer"
HAP1,"Esophageal carcinoma, Squamous cell carcinoma"
HAPLN1,Gastroesophageal reflux disease
HAPLN4,"non-alcoholic fatty liver disease, Alcoholic liver cirrhosis, Bipolar I disorder, Endogenous depression"
HARBI1,Vascular disease
HAS1,"Leprosy, Periodontitis"
HAUS2,"Endogenous depression, Bipolar disorder"
HAUS4,Hypertension
HAUS6,"Prostate carcinoma, Basal cell carcinoma"
HAUS8,"Prostate carcinoma, Hypertension"
HAX1,"Attention deficit hyperactivity disorder, Juvenile rheumatoid arthritis"
HBA2,Glioblastoma
HBB,Malaria
HBD,Malaria
HBE1,Malaria
HBG1,Malaria
HBG2,Malaria
HBM,Glioblastoma
HBP1,Atrial fibrillation
HBS1L,Hodgkin's lymphoma
HBZ,Glioblastoma
HCAR1,Abdominal obesity-metabolic syndrome 1
HCAR2,Abdominal obesity-metabolic syndrome 1
HCAR3,Abdominal obesity-metabolic syndrome 1
HCFC1,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
HCK,Inflammatory bowel disease
HCN1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Breast carcinoma"
HCN3,"Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
HCN4,"Stevens-Johnson syndrome, Atrial fibrillation"
HCRT,"Heart disease, Vitiligo, Hypothyroidism, Autoimmune thyroiditis"
HCRTR1,Attention deficit hyperactivity disorder
HCST,Nephrotic syndrome
HDAC10,"Hypertension, Endogenous depression, Bipolar disorder, Skin melanoma"
HDAC4,Chronic obstructive pulmonary disease
HDAC5,Bipolar disorder
HDAC7,"Inflammatory bowel disease, Sclerosing cholangitis, Basal cell carcinoma, Asthma"
HDAC9,"Androgenic alopecia, Peripheral artery disease, Heart disease, Myocardial infarction, Cerebrovascular disease, Osteoarthritis"
HDDC3,"Autism spectrum disorder, Hypertension, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder, Breast carcinoma, Myocardial infarction"
HDGF,"Hypothyroidism, Autoimmune thyroiditis"
HDGFL1,"Heart disease, Myocardial infarction"
HDGFRP3,"Attention deficit hyperactivity disorder, Chronic obstructive pulmonary disease"
HDLBP,"Prostate carcinoma, Chronic lymphocytic leukemia"
HEATR1,"Attention deficit hyperactivity disorder, Hypothyroidism, Autoimmune thyroiditis"
HEATR2,Atrial fibrillation
HEATR3,"Brain glioma, Esophageal carcinoma, Uterine fibroid, Squamous cell carcinoma, Epilepsy, Testicular cancer, Glioblastoma, Testicular germ cell cancer"
HEBP1,Skin melanoma
HECTD4,"Peripheral artery disease, Esophageal carcinoma, Heart disease, Gout, Systemic scleroderma, Pancreatitis, Myocardial infarction, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus, Cleft lip"
HELQ,Disease of cellular proliferation
HELZ,Attention deficit hyperactivity disorder
HELZ2,"Brain glioma, Atopic dermatitis, Skin melanoma"
HEMGN,"Primary biliary cholangitis, Thyroid gland carcinoma"
HEPHL1,Autoimmune thyroiditis
HERC1,"Atrial fibrillation, Attention deficit hyperactivity disorder, Endogenous depression"
HERC2,"Corneal disease, Age related macular degeneration, Vitiligo, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Skin melanoma"
HERC3,Attention deficit hyperactivity disorder
HERC4,Atrial fibrillation
HERPUD1,"Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Abdominal obesity-metabolic syndrome 1"
HERPUD2,Myocardial infarction
HES4,Pancreatic carcinoma
HES5,"Diffuse large B-cell lymphoma, Celiac disease, Primary biliary cholangitis, Azoospermia, Sclerosing cholangitis, Hypothyroidism, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis"
HES7,Endogenous depression
HEXDC,Heart disease
HEXIM1,"Hypertension, Hypothyroidism"
HEXIM2,"Hypertension, Hypothyroidism"
HEY2,Endometrial carcinoma
HEYL,"Peripheral artery disease, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Chronic obstructive pulmonary disease"
HFE,"Autism spectrum disorder, Hypertension, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma, Allergic rhinitis, Osteoarthritis"
HGFAC,Heart disease
HGNC:9979,Intracranial aneurysm
HGNC:9982,Hodgkin's lymphoma
HGS,Corneal disease
HHEX,"Inflammatory bowel disease, Psoriasis"
HHIP,"Colorectal adenoma, non-alcoholic fatty liver disease, Chronic obstructive pulmonary disease, Colorectal cancer"
HHIPL1,"Heart disease, Myocardial infarction"
HHIPL2,"Heart disease, Myocardial infarction"
HHLA2,"Attention deficit hyperactivity disorder, Endogenous depression, Anxiety disorder, Bipolar disorder"
HIATL1,Colorectal cancer
HIBADH,"Hypospadias, Nephrolithiasis"
HIBCH,Juvenile rheumatoid arthritis
HIC1,"non-alcoholic fatty liver disease, Attention deficit hyperactivity disorder, Heart disease, Vascular disease, Myocardial infarction, Osteoarthritis"
HIF3A,"Inflammatory bowel disease, Crohn's disease"
HIGD1C,Endogenous depression
HILPDA,Reproductive system disease
HINFP,Heart disease
HINT1,"Inflammatory bowel disease, Crohn's disease"
HIP1,Systemic lupus erythematosus
HIP1R,Atrial fibrillation
HIPK1,"Heart disease, Vitiligo, Graves' disease, Hypothyroidism, Basal cell carcinoma, Breast carcinoma, Systemic scleroderma, Myocardial infarction, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus, Type 1 diabetes mellitus"
HIPK4,Otitis media
HIRIP3,"Autism spectrum disorder, Abdominal obesity-metabolic syndrome 1, Dental caries, Bipolar disorder"
HIST1H1A,"Autism spectrum disorder, Hypertension, Lung carcinoma, Allergic rhinitis, Osteoarthritis"
HIST1H1B,"Autism spectrum disorder, Prostatic hypertrophy, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Acne"
HIST1H1C,"Autism spectrum disorder, Hypertension, Lung carcinoma, Lung squamous cell carcinoma, Allergic rhinitis, Osteoarthritis"
HIST1H1D,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Gout, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma"
HIST1H1E,"Autism spectrum disorder, Hypertension, Gout, Endogenous depression, Lung squamous cell carcinoma, Allergic rhinitis, Osteoarthritis"
HIST1H1T,"Autism spectrum disorder, Hypertension, Gout, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma, Allergic rhinitis, Osteoarthritis"
HIST1H2AA,"Gout, Lung carcinoma, Lung squamous cell carcinoma"
HIST1H2AB,"Autism spectrum disorder, Hypertension, Lung carcinoma, Lung squamous cell carcinoma, Allergic rhinitis, Osteoarthritis"
